Player,Team,Opponent,Matchup Difficulty,Injury Status,YDS,TDS,REC,FL,FPTS
Scott Matlock,LAC,0.0,Neutral,,0.0,0.0,0.0,0.0,0.0
Rasheen Ali,BAL,0.0,Neutral,,0.0,0.0,0.0,0.0,0.0
Blake Watson,DEN,0.0,Neutral,,0.0,0.0,0.0,0.0,0.0
Darrynton Evans,BUF,0.0,Neutral,,0.0,0.0,0.0,0.0,0.0
A.J. Dillon,PHI,0.0,Neutral,,0.0,0.0,0.0,0.0,0.0
Elijah Mitchell,KC,0.0,Neutral,,0.0,0.0,0.0,0.0,0.0
Keilan Robinson,PHI,0.0,Neutral,,0.0,0.0,0.0,0.0,0.0
Nick Bellore,WAS,0.0,Neutral,,0.0,0.0,0.0,0.0,0.0
Kareem Hunt,KC,0.0,Neutral,,0.0,0.0,0.0,0.0,0.0
Andrew Beck,NYJ,0.0,Neutral,,0.0,0.0,0.0,0.0,0.0
Jakob Johnson,HOU,0.0,Neutral,,0.0,0.0,0.0,0.0,0.0
J.J. Taylor,HOU,0.0,Neutral,,0.0,0.0,0.0,0.0,0.0
Salvon Ahmed,IND,0.0,Neutral,,0.0,0.0,0.0,0.0,0.0
Jonathan Ward,PIT,0.0,Neutral,,0.0,0.0,0.0,0.0,0.0
Michael Carter,ARI,0.0,Neutral,,0.0,0.0,0.0,0.0,0.0
Javian Hawkins,TEN,0.0,Neutral,,0.0,0.0,0.0,0.0,0.0
Gary Brightwell,CIN,0.0,Neutral,,0.0,0.0,0.0,0.0,0.0
Demetric Felton Jr.,WAS,0.0,Neutral,,0.0,0.0,0.0,0.0,0.0
Kene Nwangwu,NYJ,0.0,Neutral,,0.0,0.0,0.0,0.0,0.0
Jaret Patterson,LAC,0.0,Neutral,,0.0,0.0,0.0,0.0,0.0
Tyrion Davis-Price,TEN,0.0,Neutral,,0.0,0.0,0.0,0.0,0.0
Keaontay Ingram,KC,0.0,Neutral,,0.0,0.0,0.0,0.0,0.0
Zonovan Knight,NYJ,0.0,Neutral,,0.0,0.0,0.0,0.0,0.0
Tyler Badie,DEN,0.0,Neutral,,0.0,0.0,0.0,0.0,0.0
Troy Hairston II,CLE,0.0,Neutral,,0.0,0.0,0.0,0.0,0.0
Zach Evans,NYJ,0.0,Neutral,,0.0,0.0,0.0,0.0,0.0
Evan Hull,PIT,0.0,Neutral,,0.0,0.0,0.0,0.0,0.0
Lew Nichols III,PHI,0.0,Neutral,,0.0,0.0,0.0,0.0,0.0
Chris Rodriguez Jr.,WAS,0.0,Neutral,,0.0,0.0,0.0,0.0,0.0
Elijah Dotson,ATL,0.0,Neutral,,0.0,0.0,0.0,0.0,0.0
Chris Brooks,GB,0.0,Neutral,,0.0,0.0,0.0,0.0,0.0
Xazavian Valladay,NO,0.0,Neutral,,0.0,0.0,0.0,0.0,0.0
Ellis Merriweather,GB,0.0,Neutral,,0.0,0.0,0.0,0.0,0.0
Jawhar Jordan,HOU,0.0,Neutral,,0.0,0.0,0.0,0.0,0.0
Louis Rees-Zammit,JAC,0.0,Neutral,,0.0,0.0,0.0,0.0,0.0
Dante Miller,NYG,0.0,Neutral,,0.0,0.0,0.0,0.0,0.0
Michael Wiley,WAS,0.0,Neutral,,0.0,0.0,0.0,0.0,0.0
