Player,Team,Opponent,Matchup Difficulty,Injury Status,YDS,TDS,ATT,FL,FPTS
Chris Godwin,TB,5.1,Neutral,,1.0,0.0,0.1,0.0,8.5
Calvin Ridley,TEN,4.4,Neutral,,0.8,0.0,0.2,0.0,8.3
Christian Kirk,HOU,5.0,Neutral,,0.4,0.0,0.1,0.1,8.3
Zay Flowers,BAL,5.0,Neutral,,2.2,0.0,0.3,0.1,8.2
Terry McLaurin,WAS,4.9,Neutral,,0.1,0.0,0.0,0.0,8.1
Diontae Johnson,CLE,4.5,Neutral,,0.4,0.0,0.1,0.0,7.8
Jayden Reed,GB,3.9,Neutral,,3.7,0.1,0.4,0.0,7.7
Christian Watson,GB,3.5,Neutral,,1.4,0.0,0.3,0.0,7.7
Joshua Palmer,BUF,4.6,Neutral,,0.1,0.0,0.0,0.1,7.6
Jaxon Smith-Njigba,SEA,4.6,Neutral,,0.1,0.0,0.0,0.0,7.5
Xavier Worthy,KC,3.7,Neutral,,0.9,0.0,0.1,0.0,7.4
Courtland Sutton,DEN,4.2,Neutral,,0.1,0.0,0.0,0.1,7.3
DeAndre Hopkins,BAL,4.1,Neutral,,0.2,0.0,0.0,0.0,7.2
Jordan Addison,MIN,4.1,Neutral,,0.2,0.0,0.0,0.0,7.1
Jameson Williams,DET,3.2,Neutral,,3.4,0.0,0.7,0.0,7.1
Ladd McConkey,LAC,4.2,Neutral,,0.4,0.0,0.1,0.1,7.0
Brian Thomas Jr.,JAC,3.9,Neutral,,0.3,0.0,0.0,0.1,6.9
Khalil Shakir,BUF,3.9,Neutral,,0.2,0.0,0.0,0.0,6.9
Tyler Lockett,TEN,4.1,Neutral,,0.1,0.0,0.0,0.0,6.9
Rome Odunze,CHI,3.7,Neutral,,0.4,0.0,0.1,0.1,6.8
Keon Coleman,BUF,3.5,Neutral,,0.3,0.0,0.0,0.1,6.7
Curtis Samuel,BUF,3.6,Neutral,,4.2,0.1,0.7,0.0,6.5
Jerry Jeudy,CLE,3.7,Neutral,,0.3,0.0,0.0,0.0,6.5
Rashid Shaheed,NO,3.3,Neutral,,1.9,0.0,0.2,0.1,6.5
Andrei Iosivas,CIN,3.7,Neutral,,0.3,0.0,0.0,0.0,6.4
Romeo Doubs,GB,3.4,Neutral,,0.1,0.0,0.0,0.0,6.4
Jakobi Meyers,LV,3.9,Neutral,,0.9,0.0,0.2,0.0,6.2
DeMario Douglas,NE,4.0,Neutral,,2.1,0.0,0.4,0.1,6.2
Brandin Cooks,NO,3.4,Neutral,,1.2,0.0,0.2,0.0,5.9
Adam Thielen,CAR,4.2,Neutral,,0.2,0.0,0.0,0.0,5.8
Ja'Lynn Polk,NE,3.5,Neutral,,0.3,0.0,0.0,0.0,5.7
Darnell Mooney,ATL,2.9,Neutral,,0.7,0.0,0.1,0.0,5.5
Adonai Mitchell,IND,3.1,Neutral,,0.3,0.0,0.0,0.0,5.4
Mike Williams,LAC,3.0,Neutral,,0.5,0.0,0.1,0.0,5.3
Wan'Dale Robinson,NYG,3.9,Neutral,,3.5,0.0,0.5,0.0,5.2
Demarcus Robinson,SF,2.8,Neutral,,0.4,0.0,0.0,0.0,5.1
Michael Wilson,ARI,2.9,Neutral,,0.1,0.0,0.0,0.0,5.0
Dontayvion Wicks,GB,2.5,Neutral,,0.2,0.0,0.0,0.0,4.9
Trenton Irwin,JAC,2.7,Neutral,,0.3,0.0,0.0,0.0,4.9
Quentin Johnston,LAC,2.8,Neutral,,0.4,0.0,0.1,0.0,4.7
Darius Slayton,NYG,2.6,Neutral,,0.0,0.0,0.0,0.0,4.7
John Stephens Jr.,DAL,2.7,Neutral,,0.6,0.0,0.1,0.1,4.7
Rashod Bateman,BAL,2.7,Neutral,,0.3,0.0,0.0,0.0,4.5
Josh Reynolds,NYJ,2.5,Neutral,,0.1,0.0,0.0,0.0,4.5
Alec Pierce,IND,2.1,Neutral,,0.1,0.0,0.0,0.0,4.3
Tee Higgins,CIN,1.9,Neutral,,0.0,0.0,0.0,0.0,4.2
Jalen McMillan,TB,2.4,Neutral,,0.4,0.0,0.0,0.0,4.1
Jalin Hyatt,NYG,2.5,Neutral,,0.1,0.0,0.0,0.0,4.0
