Player,REC,YDS,TDS,ATT,YDS,TDS,FL,FPTS
Jalen McMillan TB,2.4,29.6,0.2,0.0,0.4,0.0,0.0,4.1
Jalin Hyatt NYG,2.5,31.1,0.2,0.0,0.1,0.0,0.0,4.0
Dyami Brown JAC,2.1,28.9,0.2,0.0,0.2,0.0,0.0,3.9
Greg Dortch ARI,2.8,28.4,0.2,0.2,1.3,0.0,0.0,3.9
Jalen Tolbert DAL,2.4,29.3,0.2,0.0,0.2,0.0,0.0,3.9
Tre Tucker LV,2.1,24.8,0.2,0.4,2.6,0.0,0.0,3.7
Jonathan Mingo DAL,2.3,27.6,0.1,0.0,0.3,0.0,0.0,3.6
Xavier Legette CAR,2.1,26.8,0.1,0.2,0.8,0.0,0.0,3.6
Marvin Mims Jr. DEN,2.1,28.7,0.1,0.4,1.4,0.0,0.1,3.6
Ray-Ray McCloud III ATL,2.2,22.5,0.2,0.4,2.8,0.0,0.0,3.5
K.J. Osborn WAS,2.2,26.3,0.1,0.0,0.1,0.0,0.0,3.4
Allen Lazard NYJ,1.9,24.4,0.2,0.0,0.1,0.0,0.0,3.4
Elijah Moore BUF,2.1,24.5,0.2,0.2,0.8,0.0,0.0,3.4
Van Jefferson TEN,1.8,24.9,0.1,0.0,0.4,0.0,0.0,3.4
Kalif Raymond DET,1.9,23.4,0.1,0.1,1.9,0.0,0.0,3.3
Jalen Nailor MIN,2.0,25.9,0.1,0.0,0.0,0.0,0.0,3.3
Jahan Dotson PHI,1.9,23.0,0.2,0.0,0.1,0.0,0.0,3.3
Cedrick Wilson Jr. NO,1.8,21.1,0.2,0.0,0.2,0.0,0.0,3.2
Trey Palmer TB,1.7,20.9,0.1,0.3,1.4,0.0,0.0,3.1
Justin Watson HOU,1.6,21.7,0.1,0.0,0.0,0.0,0.0,3.0
A.T. Perry DEN,1.2,17.7,0.2,0.0,0.1,0.0,0.0,3.0
Calvin Austin III PIT,1.5,17.2,0.1,0.4,2.5,0.0,0.0,2.9
Jauan Jennings SF,1.7,20.6,0.1,0.0,0.1,0.0,0.0,2.9
Braxton Berrios HOU,2.0,19.6,0.1,0.0,0.4,0.0,0.0,2.8
Troy Franklin DEN,1.8,21.9,0.1,0.0,0.0,0.0,0.0,2.7
Luke McCaffrey WAS,1.7,20.9,0.1,0.0,0.2,0.0,0.0,2.6
Jermaine Burton CIN,1.5,18.8,0.1,0.0,0.1,0.0,0.0,2.6
KaVontae Turpin DAL,1.0,11.3,0.1,0.5,3.8,0.0,0.0,2.4
Treylon Burks TEN,1.3,17.6,0.1,0.1,1.1,0.0,0.0,2.3
Mack Hollins NE,1.2,15.6,0.1,0.0,0.2,0.0,0.0,2.3
Olamide Zaccheaus CHI,1.3,16.6,0.1,0.0,0.2,0.0,0.0,2.2
Cedric Tillman CLE,1.3,16.3,0.1,0.0,0.1,0.0,0.0,2.2
Roman Wilson PIT,1.2,16.0,0.1,0.1,0.3,0.0,0.1,2.1
Charlie Jones CIN,1.2,14.4,0.1,0.0,0.1,0.0,0.0,2.1
JuJu Smith-Schuster KC,1.6,15.4,0.1,0.0,0.0,0.0,0.0,2.1
Tyquan Thornton KC,1.2,15.3,0.1,0.1,0.6,0.0,0.0,2.0
Robert Woods PIT,1.2,13.6,0.1,0.0,0.3,0.0,0.0,2.0
Ashton Dulin IND,1.1,13.6,0.1,0.0,0.1,0.0,0.0,1.9
Jake Bobo SEA,1.0,10.9,0.1,0.0,0.1,0.0,0.0,1.9
Xavier Gipson NYJ,1.0,11.8,0.1,0.2,1.4,0.0,0.0,1.8
Tutu Atwell LAR,0.8,11.8,0.1,0.2,0.9,0.0,0.0,1.8
Skyy Moore KC,0.9,10.2,0.1,0.0,0.2,0.0,0.0,1.5
Derius Davis LAC,0.7,8.1,0.1,0.4,2.4,0.0,0.0,1.4
KhaDarel Hodge ATL,0.9,11.2,0.1,0.0,0.0,0.0,0.0,1.4
Parker Washington JAC,0.9,9.6,0.1,0.0,0.2,0.0,0.0,1.4
Marquez Valdes-Scantling SEA,0.6,10.0,0.1,0.0,0.1,0.0,0.0,1.4
Malachi Corley NYJ,0.8,9.1,0.1,0.2,1.0,0.0,0.0,1.4
John Metchie III HOU,1.0,10.0,0.1,0.1,0.4,0.0,0.0,1.3
Noah Brown WAS,0.8,10.1,0.0,0.0,0.0,0.0,0.0,1.2
Brenden Rice LAC,0.7,8.0,0.1,0.0,0.0,0.0,0.0,1.2
Bub Means NO,0.7,8.2,0.1,0.0,0.0,0.0,0.0,1.2
Mecole Hardman Jr. GB,0.6,6.8,0.0,0.2,1.2,0.0,0.0,1.1
Chris Moore WAS,0.6,7.6,0.0,0.0,0.3,0.0,0.0,1.1
Kayshon Boutte NE,0.6,7.0,0.0,0.0,0.1,0.0,0.0,0.9
Devaughn Vele DEN,0.6,6.7,0.0,0.0,0.0,0.0,0.0,0.9
Trent Sherfield Sr. DEN,0.6,6.5,0.0,0.0,0.1,0.0,0.0,0.9
Scotty Miller PIT,0.6,7.3,0.0,0.0,0.1,0.0,0.0,0.9
Johnny Wilson PHI,0.5,6.4,0.0,0.0,0.2,0.0,0.0,0.9
Anthony Gould IND,0.5,5.3,0.0,0.0,0.0,0.0,0.0,0.8
David Moore CAR,0.4,5.6,0.0,0.0,0.1,0.0,0.0,0.8
Jordan Whittington LAR,0.5,5.3,0.0,0.0,0.0,0.0,0.0,0.7
Nick Westbrook-Ikhine MIA,0.4,5.4,0.0,0.0,0.1,0.0,0.0,0.7
Jacob Cowing SF,0.4,4.9,0.0,0.0,0.2,0.0,0.0,0.7
Simi Fehoko ARI,0.4,4.8,0.0,0.0,0.0,0.0,0.0,0.7
Devin Duvernay CHI,0.4,4.2,0.0,0.2,1.0,0.0,0.0,0.6
Jalen Brooks DAL,0.6,4.7,0.0,0.0,0.0,0.0,0.0,0.6
Ronnie Bell DET,0.3,4.0,0.0,0.0,0.1,0.0,0.0,0.6
Zay Jones ARI,0.5,4.6,0.0,0.0,0.0,0.0,0.0,0.6
Jalen Reagor LAC,0.3,4.2,0.0,0.0,0.0,0.0,0.0,0.5
Jha'Quan Jackson TEN,0.3,3.6,0.0,0.0,0.0,0.0,0.0,0.5
Laviska Shenault Jr. BUF,0.2,1.8,0.0,0.3,2.3,0.0,0.0,0.5
Zach Pascal NYG,0.3,3.2,0.0,0.0,0.1,0.0,0.0,0.5
Velus Jones Jr. NO,0.1,0.9,0.0,0.2,2.7,0.0,0.0,0.4
Dareke Young SEA,0.2,2.9,0.0,0.0,0.0,0.0,0.0,0.4
Xavier Hutchinson HOU,0.2,2.6,0.0,0.1,0.4,0.0,0.0,0.4
Ryan Flournoy DAL,0.2,2.6,0.0,0.0,0.0,0.0,0.0,0.4
Isaiah Williams CIN,0.2,2.6,0.0,0.0,0.0,0.0,0.0,0.4
Tim Jones MIN,0.2,2.2,0.0,0.0,0.1,0.0,0.0,0.4
Bo Melton GB,0.2,1.9,0.0,0.1,0.4,0.0,0.0,0.3
Britain Covey LAR,0.2,2.2,0.0,0.0,0.0,0.0,0.0,0.3
Bryce Ford-Wheaton NYG,0.2,2.2,0.0,0.0,0.0,0.0,0.0,0.3
Montrell Washington NYG,0.2,1.7,0.0,0.0,0.0,0.0,0.0,0.3
Tylan Wallace BAL,0.1,1.7,0.0,0.0,0.1,0.0,0.0,0.2
Tyler Johnson NYJ,0.1,1.3,0.0,0.0,0.0,0.0,0.0,0.2
Jamari Thrash CLE,0.1,1.1,0.0,0.0,0.0,0.0,0.0,0.2
DeAndre Carter CLE,0.1,0.3,0.0,0.1,0.5,0.0,0.0,0.1
Cody White SEA,0.1,0.6,0.0,0.0,0.0,0.0,0.0,0.1
Irvin Charles NYJ,0.1,0.6,0.0,0.0,0.0,0.0,0.0,0.1
Jason Brownlee KC,0.1,0.6,0.0,0.0,0.0,0.0,0.0,0.1
Kyle Philips LV,0.1,0.5,0.0,0.0,0.0,0.0,0.0,0.1
Kristian Wilkerson BUF,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.1
David Sills ATL,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.1
Marquise Brown KC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Josh Downs IND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kendrick Bourne NE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ricky Pearsall SF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Malik Washington MIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Devontez Walker BAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Javon Baker NE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Casey Washington ATL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
David Bell CLE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tyler Scott CHI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kameron Johnson TB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mason Tipton NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Malik Heath GB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trishton Jackson ARI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Steven Sims Jr. SEA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Xavier Weaver ARI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
